Nomor,Lambda,Abs 1,Trans 1,Abs 2,Trans 2,Abs 3,Trans 3
4,797.0,-0.003,1.0069316688518042,-0.01,1.023292992280754,0.007,0.9840111057611337
5,796.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.007,0.9840111057611337
6,795.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.007,0.9840111057611337
7,794.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.007,0.9840111057611337
8,793.0,-0.003,1.0069316688518042,-0.008,1.0185913880541169,0.007,0.9840111057611337
9,792.0,-0.002,1.0046157902783952,-0.008,1.0185913880541169,0.008,0.9817479430199844
10,791.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.008,0.9817479430199844
11,790.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.007,0.9840111057611337
12,789.0,-0.003,1.0069316688518042,-0.01,1.023292992280754,0.007,0.9840111057611337
13,788.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.007,0.9840111057611337
14,787.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.008,0.9817479430199844
15,786.0,-0.002,1.0046157902783952,-0.01,1.023292992280754,0.007,0.9840111057611337
16,785.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.007,0.9840111057611337
17,784.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.007,0.9840111057611337
18,783.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.008,0.9817479430199844
19,782.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.008,0.9817479430199844
20,781.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.008,0.9817479430199844
21,780.0,-0.003,1.0069316688518042,-0.009,1.02093948370768,0.008,0.9817479430199844
22,779.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.008,0.9817479430199844
23,778.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.007,0.9840111057611337
24,777.0,-0.001,1.0023052380778996,-0.009,1.02093948370768,0.008,0.9817479430199844
25,776.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
26,775.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
27,774.0,-0.002,1.0046157902783952,-0.008,1.0185913880541169,0.008,0.9817479430199844
28,773.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.009,0.9794899854086989
29,772.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.009,0.9794899854086989
30,771.0,-0.002,1.0046157902783952,-0.009,1.02093948370768,0.008,0.9817479430199844
31,770.0,-0.001,1.0023052380778996,-0.009,1.02093948370768,0.008,0.9817479430199844
32,769.0,-0.001,1.0023052380778996,-0.009,1.02093948370768,0.008,0.9817479430199844
33,768.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
34,767.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
35,766.0,-0.001,1.0023052380778996,-0.007,1.0162486928706955,0.01,0.9772372209558107
36,765.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
37,764.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
38,763.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
39,762.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
40,761.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
41,760.0,-0.001,1.0023052380778996,-0.008,1.0185913880541169,0.009,0.9794899854086989
42,759.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
43,758.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
44,757.0,0.0,1.0,-0.007,1.0162486928706955,0.01,0.9772372209558107
45,756.0,0.0,1.0,-0.007,1.0162486928706955,0.009,0.9794899854086989
46,755.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
47,754.0,0.0,1.0,-0.008,1.0185913880541169,0.009,0.9794899854086989
48,753.0,0.001,0.9977000638225533,-0.008,1.0185913880541169,0.009,0.9794899854086989
49,752.0,0.001,0.9977000638225533,-0.008,1.0185913880541169,0.01,0.9772372209558107
50,751.0,0.001,0.9977000638225533,-0.008,1.0185913880541169,0.01,0.9772372209558107
51,750.0,0.001,0.9977000638225533,-0.008,1.0185913880541169,0.011,0.974989637717387
52,749.0,0.001,0.9977000638225533,-0.008,1.0185913880541169,0.01,0.9772372209558107
53,748.0,0.001,0.9977000638225533,-0.007,1.0162486928706955,0.01,0.9772372209558107
54,747.0,0.001,0.9977000638225533,-0.007,1.0162486928706955,0.011,0.974989637717387
55,746.0,0.0,1.0,-0.007,1.0162486928706955,0.011,0.974989637717387
56,745.0,0.001,0.9977000638225533,-0.008,1.0185913880541169,0.01,0.9772372209558107
57,744.0,0.002,0.995405417351527,-0.008,1.0185913880541169,0.01,0.9772372209558107
58,743.0,0.002,0.995405417351527,-0.007,1.0162486928706955,0.01,0.9772372209558107
59,742.0,0.001,0.9977000638225533,-0.006,1.0139113857366795,0.011,0.974989637717387
60,741.0,0.001,0.9977000638225533,-0.006,1.0139113857366795,0.011,0.974989637717387
61,740.0,0.001,0.9977000638225533,-0.007,1.0162486928706955,0.011,0.974989637717387
62,739.0,0.002,0.995405417351527,-0.007,1.0162486928706955,0.011,0.974989637717387
63,738.0,0.003,0.9931160484209338,-0.006,1.0139113857366795,0.011,0.974989637717387
64,737.0,0.003,0.9931160484209338,-0.006,1.0139113857366795,0.011,0.974989637717387
65,736.0,0.003,0.9931160484209338,-0.006,1.0139113857366795,0.011,0.974989637717387
66,735.0,0.003,0.9931160484209338,-0.006,1.0139113857366795,0.011,0.974989637717387
67,734.0,0.003,0.9931160484209338,-0.006,1.0139113857366795,0.011,0.974989637717387
68,733.0,0.004,0.9908319448927676,-0.006,1.0139113857366795,0.012,0.9727472237769651
69,732.0,0.005,0.9885530946569389,-0.005,1.0115794542598986,0.012,0.9727472237769651
70,731.0,0.005,0.9885530946569389,-0.005,1.0115794542598986,0.012,0.9727472237769651
71,730.0,0.004,0.9908319448927676,-0.005,1.0115794542598986,0.012,0.9727472237769651
72,729.0,0.005,0.9885530946569389,-0.005,1.0115794542598986,0.012,0.9727472237769651
73,728.0,0.006,0.9862794856312105,-0.004,1.0092528860766845,0.013,0.9705099672454897
74,727.0,0.006,0.9862794856312105,-0.004,1.0092528860766845,0.014,0.9682778562612492
75,726.0,0.007,0.9840111057611337,-0.003,1.0069316688518042,0.014,0.9682778562612492
76,725.0,0.007,0.9840111057611337,-0.003,1.0069316688518042,0.014,0.9682778562612492
77,724.0,0.007,0.9840111057611337,-0.003,1.0069316688518042,0.014,0.9682778562612492
78,723.0,0.008,0.9817479430199844,-0.002,1.0046157902783952,0.015,0.9660508789898133
79,722.0,0.009,0.9794899854086989,-0.002,1.0046157902783952,0.016,0.9638290236239705
80,721.0,0.009,0.9794899854086989,-0.002,1.0046157902783952,0.016,0.9638290236239705
81,720.0,0.01,0.9772372209558107,-0.001,1.0023052380778996,0.016,0.9638290236239705
82,719.0,0.011,0.974989637717387,0.0,1.0,0.017,0.9616122783836647
83,718.0,0.013,0.9705099672454897,0.001,0.9977000638225533,0.018,0.9594006315159331
84,717.0,0.013,0.9705099672454897,0.002,0.995405417351527,0.019,0.9571940712948445
85,716.0,0.014,0.9682778562612492,0.002,0.995405417351527,0.019,0.9571940712948445
86,715.0,0.016,0.9638290236239705,0.003,0.9931160484209338,0.02,0.954992586021436
87,714.0,0.017,0.9616122783836647,0.004,0.9908319448927676,0.021,0.9527961640236519
88,713.0,0.018,0.9594006315159331,0.005,0.9885530946569389,0.022,0.9506047936562815
89,712.0,0.019,0.9571940712948445,0.006,0.9862794856312105,0.023,0.9484184633008972
90,711.0,0.022,0.9506047936562815,0.007,0.9840111057611337,0.024,0.9462371613657931
91,710.0,0.024,0.9462371613657931,0.009,0.9794899854086989,0.026,0.9418895965228413
92,709.0,0.026,0.9418895965228413,0.011,0.974989637717387,0.028,0.9375620069258802
93,708.0,0.029,0.9354056741475519,0.014,0.9682778562612492,0.03,0.933254300796991
94,707.0,0.032,0.9289663867799364,0.016,0.9638290236239705,0.032,0.9289663867799364
95,706.0,0.035,0.9225714271547631,0.018,0.9594006315159331,0.034,0.9246981739382225
96,705.0,0.038,0.9162204901219998,0.021,0.9527961640236519,0.036,0.9204495717531713
97,704.0,0.041,0.9099132726322515,0.024,0.9462371613657931,0.038,0.9162204901219998
98,703.0,0.046,0.8994975815300352,0.027,0.9397233105646379,0.041,0.9099132726322515
99,702.0,0.051,0.8892011178579484,0.031,0.9311078754678304,0.044,0.9036494737223014
100,701.0,0.057,0.8770008211436348,0.035,0.9225714271547631,0.048,0.8953647655495938
101,700.0,0.062,0.8669618757582166,0.04,0.9120108393559098,0.053,0.8851156098308355
102,699.0,0.068,0.8550667128846833,0.046,0.8994975815300352,0.057,0.8770008211436348
103,698.0,0.075,0.8413951416451951,0.051,0.8892011178579484,0.061,0.8689604292863018
104,697.0,0.084,0.8241381150130023,0.058,0.8749837752274361,0.067,0.8570378452303696
105,696.0,0.094,0.8053784411990667,0.065,0.8609937521846006,0.074,0.8433347577642754
106,695.0,0.105,0.7852356346100718,0.074,0.8433347577642754,0.081,0.8298507675144224
107,694.0,0.116,0.7655966069112563,0.084,0.8241381150130023,0.089,0.8147042840208396
108,693.0,0.129,0.7430191378967014,0.094,0.8053784411990667,0.098,0.7979946872679766
109,692.0,0.144,0.7177942912713617,0.106,0.7834296427662117,0.108,0.7798301105232587
110,691.0,0.16,0.6918309709189365,0.119,0.7603262769401818,0.119,0.7603262769401818
111,690.0,0.177,0.6652731562017413,0.133,0.7362070974947361,0.131,0.7396052750582378
112,689.0,0.196,0.6367955209079158,0.148,0.7112135136533291,0.144,0.7177942912713617
113,688.0,0.217,0.6067363295885054,0.166,0.6823386941416696,0.159,0.6934258060165691
114,687.0,0.239,0.5767664633922508,0.185,0.6531305526474723,0.176,0.6668067692136221
115,686.0,0.264,0.5445026528424212,0.205,0.6237348354824193,0.193,0.6412095765851616
116,685.0,0.29,0.5128613839913648,0.227,0.5929253245799998,0.212,0.6137620051647942
