Created as New Dataset;
nm;A
700.0;0.0620
699.0;0.0678
698.0;0.0744
697.0;0.0816
696.0;0.0897
695.0;0.0988
694.0;0.1091
693.0;0.1206
692.0;0.1330
691.0;0.1467
690.0;0.1615
689.0;0.1780
688.0;0.1962
687.0;0.2161
686.0;0.2374
685.0;0.2605
684.0;0.2849
683.0;0.3104
682.0;0.3367
681.0;0.3645
680.0;0.3936
679.0;0.4232
678.0;0.4531
677.0;0.4827
676.0;0.5115
675.0;0.5391
674.0;0.5648
673.0;0.5891
672.0;0.6111
671.0;0.6308
670.0;0.6477
669.0;0.6616
668.0;0.6725
667.0;0.6807
666.0;0.6864
665.0;0.6897
664.0;0.6908
663.0;0.6900
662.0;0.6876
661.0;0.6838
660.0;0.6790
659.0;0.6734
658.0;0.6670
657.0;0.6597
656.0;0.6522
655.0;0.6441
654.0;0.6358
653.0;0.6272
652.0;0.6186
651.0;0.6099
650.0;0.6010
649.0;0.5919
648.0;0.5826
647.0;0.5735
646.0;0.5645
645.0;0.5556
644.0;0.5471
643.0;0.5390
642.0;0.5311
641.0;0.5237
640.0;0.5165
639.0;0.5097
638.0;0.5034
637.0;0.4978
636.0;0.4926
635.0;0.4879
634.0;0.4836
633.0;0.4798
632.0;0.4766
631.0;0.4737
630.0;0.4714
629.0;0.4695
628.0;0.4682
627.0;0.4671
626.0;0.4665
625.0;0.4661
624.0;0.4660
623.0;0.4660
622.0;0.4662
621.0;0.4665
620.0;0.4666
619.0;0.4666
618.0;0.4665
617.0;0.4660
616.0;0.4653
615.0;0.4640
614.0;0.4625
613.0;0.4603
612.0;0.4576
611.0;0.4543
610.0;0.4504
609.0;0.4459
608.0;0.4408
607.0;0.4351
606.0;0.4288
605.0;0.4222
604.0;0.4150
603.0;0.4074
602.0;0.3994
601.0;0.3912
600.0;0.3827
599.0;0.3742
598.0;0.3656
597.0;0.3571
596.0;0.3488
595.0;0.3403
594.0;0.3318
593.0;0.3234
592.0;0.3151
591.0;0.3071
590.0;0.2992
589.0;0.2916
588.0;0.2842
587.0;0.2768
586.0;0.2697
585.0;0.2626
584.0;0.2557
583.0;0.2491
582.0;0.2428
581.0;0.2367
580.0;0.2308
579.0;0.2250
578.0;0.2194
577.0;0.2139
576.0;0.2085
575.0;0.2034
574.0;0.1984
573.0;0.1936
572.0;0.1889
571.0;0.1842
570.0;0.1797
569.0;0.1753
568.0;0.1709
567.0;0.1667
566.0;0.1627
565.0;0.1587
564.0;0.1547
563.0;0.1507
562.0;0.1467
561.0;0.1429
560.0;0.1390
559.0;0.1354
558.0;0.1317
557.0;0.1281
556.0;0.1245
555.0;0.1209
554.0;0.1174
553.0;0.1140
552.0;0.1106
551.0;0.1074
550.0;0.1043
549.0;0.1013
548.0;0.0984
547.0;0.0955
546.0;0.0927
545.0;0.0900
544.0;0.0874
543.0;0.0849
542.0;0.0826
541.0;0.0804
540.0;0.0782
539.0;0.0761
538.0;0.0741
537.0;0.0722
536.0;0.0703
535.0;0.0685
534.0;0.0669
533.0;0.0653
532.0;0.0639
531.0;0.0624
530.0;0.0610
529.0;0.0597
528.0;0.0584
527.0;0.0573
526.0;0.0562
525.0;0.0552
524.0;0.0542
523.0;0.0533
522.0;0.0525
521.0;0.0516
520.0;0.0509
519.0;0.0502
518.0;0.0496
517.0;0.0490
516.0;0.0484
515.0;0.0479
514.0;0.0475
513.0;0.0470
512.0;0.0466
511.0;0.0462
510.0;0.0460
509.0;0.0457
508.0;0.0453
507.0;0.0451
506.0;0.0448
505.0;0.0446
504.0;0.0443
503.0;0.0441
502.0;0.0439
501.0;0.0437
500.0;0.0434
499.0;0.0431
498.0;0.0429
497.0;0.0426
496.0;0.0423
495.0;0.0420
494.0;0.0417
493.0;0.0414
492.0;0.0410
491.0;0.0407
490.0;0.0403
489.0;0.0400
488.0;0.0396
487.0;0.0392
486.0;0.0388
485.0;0.0384
484.0;0.0380
483.0;0.0376
482.0;0.0371
481.0;0.0368
480.0;0.0363
479.0;0.0359
478.0;0.0355
477.0;0.0351
476.0;0.0347
475.0;0.0343
474.0;0.0339
473.0;0.0336
472.0;0.0331
471.0;0.0327
470.0;0.0323
469.0;0.0319
468.0;0.0316
467.0;0.0312
466.0;0.0309
465.0;0.0305
464.0;0.0302
463.0;0.0299
462.0;0.0295
461.0;0.0291
460.0;0.0288
459.0;0.0285
458.0;0.0282
457.0;0.0279
456.0;0.0276
455.0;0.0273
454.0;0.0270
453.0;0.0267
452.0;0.0265
451.0;0.0263
450.0;0.0260
449.0;0.0258
448.0;0.0257
447.0;0.0254
446.0;0.0252
445.0;0.0250
444.0;0.0249
443.0;0.0246
442.0;0.0246
441.0;0.0244
440.0;0.0244
439.0;0.0242
438.0;0.0241
437.0;0.0241
436.0;0.0240
435.0;0.0240
434.0;0.0239
433.0;0.0238
432.0;0.0239
431.0;0.0239
430.0;0.0238
429.0;0.0239
428.0;0.0239
427.0;0.0240
426.0;0.0240
425.0;0.0241
424.0;0.0243
423.0;0.0243
422.0;0.0245
421.0;0.0249
420.0;0.0250
419.0;0.0254
418.0;0.0257
417.0;0.0261
416.0;0.0266
415.0;0.0271
414.0;0.0277
413.0;0.0285
412.0;0.0295
411.0;0.0305
410.0;0.0317
409.0;0.0331
408.0;0.0347
407.0;0.0367
406.0;0.0387
405.0;0.0408
404.0;0.0430
403.0;0.0455
402.0;0.0477
401.0;0.0502
400.0;0.0522
399.0;0.0548
398.0;0.0573
397.0;0.0596
396.0;0.0624
395.0;0.0651
394.0;0.0677
393.0;0.0711
392.0;0.0736
391.0;0.0767
390.0;0.0797
389.0;0.0820
388.0;0.0841
387.0;0.0864
386.0;0.0884
385.0;0.0899
384.0;0.0926
383.0;0.0944
382.0;0.0963
381.0;0.0983
380.0;0.1006
379.0;0.1019
378.0;0.1029
377.0;0.1041
376.0;0.1051
375.0;0.1051
374.0;0.1057
373.0;0.1059
372.0;0.1057
371.0;0.1058
370.0;0.1059
369.0;0.1058
368.0;0.1048
367.0;0.1039
366.0;0.1030
365.0;0.1021
364.0;0.1004
363.0;0.0991
362.0;0.0975
361.0;0.0962
360.0;0.0950
359.0;0.0928
358.0;0.0915
357.0;0.0898
356.0;0.0887
355.0;0.0867
354.0;0.0850
353.0;0.0833
352.0;0.0815
351.0;0.0800
350.0;0.0785
349.0;0.0771
348.0;0.0761
347.0;0.0746
346.0;0.0735
345.0;0.0729
344.0;0.0721
343.0;0.0715
342.0;0.0713
341.0;0.0717
340.0;0.0721
339.0;0.0731
338.0;0.0745
337.0;0.0763
336.0;0.0787
335.0;0.0811
334.0;0.0835
333.0;0.0860
332.0;0.0887
331.0;0.0913
330.0;0.0935
329.0;0.0954
328.0;0.0969
327.0;0.0983
326.0;0.0994
325.0;0.0998
324.0;0.1007
323.0;0.1014
322.0;0.1021
321.0;0.1031
320.0;0.1045
319.0;0.1056
318.0;0.1071
317.0;0.1086
316.0;0.1105
315.0;0.1133
314.0;0.1160
313.0;0.1190
312.0;0.1230
311.0;0.1284
310.0;0.1353
309.0;0.1431
308.0;0.1528
307.0;0.1654
306.0;0.1790
305.0;0.1955
304.0;0.2129
303.0;0.2320
302.0;0.2520
301.0;0.2742
300.0;0.2972
299.0;0.3208
298.0;0.3443
297.0;0.3682
296.0;0.3858
295.0;0.4006
294.0;0.4124
293.0;0.4279
292.0;0.4143
291.0;0.4248
290.0;0.3972
289.0;0.3586
288.0;0.3472
287.0;0.3159
286.0;0.1736
285.0;0.2059
284.0;0.0319
283.0;0.0941
282.0;0.1314
281.0;0.1727
280.0;0.0464
279.0;-0.1373
278.0;0.1865
277.0;0.0091
276.0;-0.0923
275.0;-0.0038
274.0;0.0407
273.0;0.2215
272.0;-0.1729
271.0;-0.0529
270.0;0.1805
269.0;0.1964
268.0;0.1357
267.0;-0.0536
266.0;0.0499
265.0;-0.0246
264.0;0.0523
263.0;0.0353
262.0;0.0014
261.0;0.0155
260.0;0.0247
259.0;-0.0027
258.0;0.1259
257.0;-0.1415
256.0;0.1537
255.0;0.0449
254.0;0.1096
253.0;-0.0198
252.0;-0.1546
251.0;0.0776
250.0;-0.1492
249.0;-0.1469
248.0;-0.2168
247.0;-0.0332
246.0;0.0186
245.0;0.1651
244.0;0.0192
243.0;0.0253
242.0;0.1481
241.0;-0.0291
240.0;0.1404
239.0;-0.0997
238.0;-0.0291
237.0;0.0177
236.0;-0.2103
235.0;0.2206
234.0;0.0132
233.0;-0.0195
232.0;0.0674
231.0;0.2344
230.0;-0.0817
229.0;0.0611
228.0;0.1571
227.0;0.0849
226.0;-0.0194
225.0;-0.0597
224.0;0.0312
223.0;0.1164
222.0;-0.1020
221.0;-0.1160
220.0;0.0288
219.0;-0.1945
218.0;-0.0905
217.0;-0.0105
216.0;0.0977
215.0;0.1294
214.0;-0.0693
213.0;0.0737
212.0;0.1085
211.0;0.0566
210.0;-0.1777
209.0;0.1082
208.0;0.1086
207.0;0.0392
206.0;-0.0370
205.0;0.1579
204.0;-0.2558
203.0;0.0098
202.0;0.0419
201.0;-0.1979
200.0;-0.1689
