Report:	2025/01/03 12:30

Sample Name:	STO Lama002
File Name:	STO Lama002
Run Date:	2025/01/03 12:24
Operator:	

Control Item	
Control Item 1:	
Control Item 2:	
Control Item 3:	

Spectrophotometer	
Model:	UH5300 Spectrophotometer
SERIAL No.:	2947-051
(CPU1)Program No.:	3J15300-04
(CPU2)Program No.:	3J15310-10
Option:	6 Cell

Instrument Parameter	
Measurement Mode:	WL Scan
Data Mode:	Abs
Start WL(nm):	800.0
End WL(nm):	400.0
Scan Speed(nm/min):	200
Data Interval(nm):	1.0
Initial Delay(s):	1
Bandpass(nm):	1.0
Response:	Medium
6 Cell Mode:	Manual

Processing Item	
Peak	
Threshold:	0.001	
Sensitivity:	1	
Peak Table	
No.	WL(nm)	Peak	
1	664.0	0.784	


Data List	
No.	WL(nm)	Abs	
1	800.0	-0.001	
2	799.0	-0.002	
3	798.0	-0.003	
4	797.0	-0.003	
5	796.0	-0.003	
6	795.0	-0.003	
7	794.0	-0.003	
8	793.0	-0.003	
9	792.0	-0.002	
10	791.0	-0.002	
11	790.0	-0.003	
12	789.0	-0.003	
13	788.0	-0.003	
14	787.0	-0.003	
15	786.0	-0.002	
16	785.0	-0.002	
17	784.0	-0.003	
18	783.0	-0.003	
19	782.0	-0.003	
20	781.0	-0.003	
21	780.0	-0.003	
22	779.0	-0.002	
23	778.0	-0.002	
24	777.0	-0.001	
25	776.0	-0.001	
26	775.0	-0.001	
27	774.0	-0.002	
28	773.0	-0.002	
29	772.0	-0.002	
30	771.0	-0.002	
31	770.0	-0.001	
32	769.0	-0.001	
33	768.0	-0.001	
34	767.0	-0.001	
35	766.0	-0.001	
36	765.0	-0.001	
37	764.0	-0.001	
38	763.0	0.000	
39	762.0	0.000	
40	761.0	0.000	
41	760.0	-0.001	
42	759.0	0.000	
43	758.0	0.000	
44	757.0	0.000	
45	756.0	0.000	
46	755.0	0.000	
47	754.0	0.000	
48	753.0	0.001	
49	752.0	0.001	
50	751.0	0.001	
51	750.0	0.001	
52	749.0	0.001	
53	748.0	0.001	
54	747.0	0.001	
55	746.0	0.000	
56	745.0	0.001	
57	744.0	0.002	
58	743.0	0.002	
59	742.0	0.001	
60	741.0	0.001	
61	740.0	0.001	
62	739.0	0.002	
63	738.0	0.003	
64	737.0	0.003	
65	736.0	0.003	
66	735.0	0.003	
67	734.0	0.003	
68	733.0	0.004	
69	732.0	0.005	
70	731.0	0.005	
71	730.0	0.004	
72	729.0	0.005	
73	728.0	0.006	
74	727.0	0.006	
75	726.0	0.007	
76	725.0	0.007	
77	724.0	0.007	
78	723.0	0.008	
79	722.0	0.009	
80	721.0	0.009	
81	720.0	0.010	
82	719.0	0.011	
83	718.0	0.013	
84	717.0	0.013	
85	716.0	0.014	
86	715.0	0.016	
87	714.0	0.017	
88	713.0	0.018	
89	712.0	0.019	
90	711.0	0.022	
91	710.0	0.024	
92	709.0	0.026	
93	708.0	0.029	
94	707.0	0.032	
95	706.0	0.035	
96	705.0	0.038	
97	704.0	0.041	
98	703.0	0.046	
99	702.0	0.051	
100	701.0	0.057	
101	700.0	0.062	
102	699.0	0.068	
103	698.0	0.075	
104	697.0	0.084	
105	696.0	0.094	
106	695.0	0.105	
107	694.0	0.116	
108	693.0	0.129	
109	692.0	0.144	
110	691.0	0.160	
111	690.0	0.177	
112	689.0	0.196	
113	688.0	0.217	
114	687.0	0.239	
115	686.0	0.264	
116	685.0	0.290	
117	684.0	0.319	
118	683.0	0.349	
119	682.0	0.380	
120	681.0	0.412	
121	680.0	0.445	
122	679.0	0.479	
123	678.0	0.513	
124	677.0	0.547	
125	676.0	0.580	
126	675.0	0.612	
127	674.0	0.642	
128	673.0	0.670	
129	672.0	0.696	
130	671.0	0.717	
131	670.0	0.736	
132	669.0	0.752	
133	668.0	0.764	
134	667.0	0.774	
135	666.0	0.780	
136	665.0	0.784	
137	664.0	0.784	
138	663.0	0.783	
139	662.0	0.779	
140	661.0	0.774	
141	660.0	0.768	
142	659.0	0.761	
143	658.0	0.752	
144	657.0	0.743	
145	656.0	0.734	
146	655.0	0.725	
147	654.0	0.715	
148	653.0	0.704	
149	652.0	0.692	
150	651.0	0.681	
151	650.0	0.670	
152	649.0	0.658	
153	648.0	0.646	
154	647.0	0.635	
155	646.0	0.623	
156	645.0	0.611	
157	644.0	0.600	
158	643.0	0.588	
159	642.0	0.577	
160	641.0	0.567	
161	640.0	0.558	
162	639.0	0.548	
163	638.0	0.539	
164	637.0	0.531	
165	636.0	0.523	
166	635.0	0.516	
167	634.0	0.510	
168	633.0	0.504	
169	632.0	0.498	
170	631.0	0.494	
171	630.0	0.489	
172	629.0	0.485	
173	628.0	0.482	
174	627.0	0.480	
175	626.0	0.478	
176	625.0	0.475	
177	624.0	0.474	
178	623.0	0.473	
179	622.0	0.472	
180	621.0	0.471	
181	620.0	0.470	
182	619.0	0.470	
183	618.0	0.469	
184	617.0	0.468	
185	616.0	0.467	
186	615.0	0.465	
187	614.0	0.463	
188	613.0	0.460	
189	612.0	0.457	
190	611.0	0.453	
191	610.0	0.449	
192	609.0	0.444	
193	608.0	0.438	
194	607.0	0.432	
195	606.0	0.424	
196	605.0	0.416	
197	604.0	0.408	
198	603.0	0.400	
199	602.0	0.392	
200	601.0	0.383	
201	600.0	0.374	
202	599.0	0.365	
203	598.0	0.355	
204	597.0	0.346	
205	596.0	0.337	
206	595.0	0.327	
207	594.0	0.318	
208	593.0	0.309	
209	592.0	0.300	
210	591.0	0.291	
211	590.0	0.283	
212	589.0	0.275	
213	588.0	0.267	
214	587.0	0.259	
215	586.0	0.251	
216	585.0	0.244	
217	584.0	0.236	
218	583.0	0.229	
219	582.0	0.223	
220	581.0	0.216	
221	580.0	0.210	
222	579.0	0.203	
223	578.0	0.197	
224	577.0	0.192	
225	576.0	0.186	
226	575.0	0.181	
227	574.0	0.176	
228	573.0	0.172	
229	572.0	0.167	
230	571.0	0.162	
231	570.0	0.158	
232	569.0	0.154	
233	568.0	0.150	
234	567.0	0.146	
235	566.0	0.142	
236	565.0	0.138	
237	564.0	0.135	
238	563.0	0.130	
239	562.0	0.127	
240	561.0	0.123	
241	560.0	0.120	
242	559.0	0.116	
243	558.0	0.112	
244	557.0	0.109	
245	556.0	0.106	
246	555.0	0.102	
247	554.0	0.099	
248	553.0	0.096	
249	552.0	0.093	
250	551.0	0.090	
